date,stock_id,name,decision,confidence,C_days,B_days,A_days,flow_status,cost_level,signal_type,adx,atr,vwap,kd_k,kd_d,bb_upper,bb_middle,bb_lower,B_quality,B_window_20,B_validity,B_phase,foreign_position,foreign_level,volume_ratio,foreign_cost,foreign_profit_pct,foreign_consecutive_buy,margin_change_5d,return_10d,bias_ma20,margin_consecutive_increase,margin_change_pct
2026-08-27,2317,鴻海,IGNORE,0,,,,,SAFE,,7.88,9.7603,262.0092,31.96,19.89,270.3886,254.075,237.7614,0,0,UNCERTAIN,PREPARE,5655138.0,HEAVY,0.8840102660203643,257.03,-1.96,,,-3.8167938931297662,-0.00816687985830955,,
2026-08-27,2330,台積電,IGNORE,0,,,,,SAFE,,3.78,75.6813,2358.7742,73.71,59.41,2444.4545,2389.5,2334.5455,0,0,UNCERTAIN,PREPARE,17932606.0,HEAVY,0.7727298035940446,2409.29,0.03,,,-1.0266940451745366,0.008579200669596165,,
2026-08-27,2454,聯發科,IGNORE,0,,,,,SAFE,,6.21,242.003,4036.9384,32.83,28.56,4228.8443,3908.0,3587.1557,0,0,UNCERTAIN,PREPARE,884759.0,HEAVY,0.6798374661514723,4078.17,-5.23,,,-8.520710059171599,-0.011003070624360234,,
2026-08-27,3450,聯鈞,IGNORE,0,,,,,HIGH_RISK,,13.83,48.1653,511.2544,75.15,68.9,623.9364,509.5,395.0636,0,0,UNCERTAIN,PREPARE,31623.0,MEDIUM,1.4649421750574878,498.1,16.04,,,9.677419354838701,0.13444553483807664,,
2026-08-27,6187,萬潤,IGNORE,0,,,,NEUTRAL,SAFE,,56.14,84.2967,1211.4597,96.12,95.85,1677.6454,1366.25,1054.8546,0,0,UNCERTAIN,PREPARE,32735.0,MEDIUM,1.1174109638787806,1430.0,0.0,,291.0,0.0,0.04666056724611156,,
2026-08-27,5443,均豪,WAIT,30,8.0,5.0,0.0,ACCUMULATING,SAFE,,16.57,3.9023,112.3171,96.1,95.83,115.9397,104.07,92.2003,15,5,UNCERTAIN,PREPARE,22086.0,MEDIUM,1.0416086869408026,105.1,1.34,,-146.0,0.0,0.023349668492360864,,
2026-08-27,4938,和碩,IGNORE,0,,,,,SAFE,,13.46,3.2164,89.1583,20.66,24.61,94.233,89.465,84.697,0,0,UNCERTAIN,PREPARE,823509.0,HEAVY,0.2982172240888193,87.34,2.36,,,-5.696202531645556,-0.0007265411054602211,,
2026-08-27,5269,祥碩,IGNORE,0,,,,,SAFE,,5.74,71.3077,1444.6837,77.74,64.36,1484.8196,1405.25,1325.6804,0,0,UNCERTAIN,PREPARE,6507.0,LIGHT,0.6725982813855794,1448.12,1.17,,,2.447552447552437,0.042519124710905576,,
2026-08-27,5388,中磊,IGNORE,0,3.0,,,,NEUTRAL,,17.7,2.7038,85.2131,9.27,7.17,95.3833,83.115,70.8467,0,0,FAKE_B,PREPARE,43204.0,MEDIUM,0.4677819556043856,,,,,-4.438964241676935,-0.0675569993382662,,
2026-08-27,5347,世界,WAIT,5,13.0,10.0,0.0,NEUTRAL,SAFE,,33.47,6.6764,171.9157,0.02,0.02,151.0,151.0,151.0,30,10,UNCERTAIN,PREPARE,572408.0,HEAVY,0.8233943869911141,151.0,0.0,,507.0,0.0,0.0,,
2026-08-27,6442,光聖,IGNORE,0,,,,,NEUTRAL,,13.16,132.543,1604.4,71.34,66.46,1735.9925,1479.5,1223.0075,0,0,UNCERTAIN,PREPARE,25537.0,MEDIUM,1.0359135481670352,1548.62,2.99,,,1.9169329073482455,0.07806691449814118,,
2026-08-27,5392,能率,IGNORE,0,,,,NEUTRAL,SAFE,,24.84,2.0532,45.8647,99.57,99.52,50.334,46.2675,42.201,0,0,UNCERTAIN,PREPARE,16762.0,MEDIUM,1.0504992377393754,46.4,1.52,,30.0,0.0,0.017993191765278027,,
2026-08-27,4979,華星光,IGNORE,0,8.0,0.0,,NEUTRAL,SAFE,,48.44,55.7316,550.2544,96.46,96.23,739.366,585.5,431.634,0,0,UNCERTAIN,PREPARE,24182.0,MEDIUM,1.158115799926413,616.97,0.0,,2159.0,0.0,0.05380017079419308,,
2026-08-27,4967,十銓,WAIT,25,12.0,4.0,5.0,,SAFE,,20.31,11.862,270.9984,78.19,69.33,295.3808,268.075,240.7692,14,6,UNCERTAIN,LATE,7258.0,LIGHT,0.792532534842935,268.16,2.74,,,-1.7825311942959,0.027697472722185923,,
2026-08-27,4989,榮科,WAIT,45,10.0,10.0,0.0,NEUTRAL,SAFE,,15.72,4.3416,85.2811,54.68,32.85,71.6533,64.535,57.4167,30,10,UNCERTAIN,PREPARE,2266.0,LIGHT,1.6563512314014983,,,,-863.0,-4.329004329004327,0.02734950027117078,,
2026-08-27,4958,臻鼎-KY,IGNORE,0,,,,,SAFE,,7.38,37.4015,531.0887,32.48,27.04,511.6354,463.425,415.2146,0,0,UNCERTAIN,PREPARE,583469.0,HEAVY,0.8112339999790413,462.24,3.19,,,-0.10471204188481353,0.029292765819711963,,
2026-08-27,4966,譜瑞-KY,WAIT,25,12.0,11.0,0.0,ACCUMULATING,SAFE,,44.77,24.0209,691.6858,90.17,89.71,598.1577,587.9,577.6423,33,11,UNCERTAIN,PREPARE,30384.0,MEDIUM,0.9946812975967216,590.0,0.0,,-1.0,0.0,0.003572036060554451,,
2026-08-27,6206,飛捷,IGNORE,0,,,,,SAFE,,20.13,7.8815,137.5393,21.66,19.24,157.0284,142.95,128.8716,0,0,UNCERTAIN,PREPARE,,NONE,0.210503597914283,145.08,-3.16,,,-10.223642172523961,-0.017138859741168133,,
2026-08-27,6202,盛群,WAIT,0,6.0,8.0,0.0,,SAFE,,16.85,3.0748,63.9488,41.5,27.41,64.7776,59.175,53.5724,27,11,UNCERTAIN,PREPARE,36817.0,MEDIUM,0.462088409530997,64.07,-7.59,,,-4.516129032258065,0.0004224757076469743,,
2026-08-27,6125,廣運,WAIT,35,8.0,15.0,13.0,NEUTRAL,SAFE,,19.18,2.3704,62.0594,96.1,95.83,54.0969,50.58,47.0631,45,15,UNCERTAIN,LATE,28000.0,MEDIUM,1.0838711770923615,51.3,0.0,,-125.0,0.0,0.014234875444839812,,
2026-08-27,6117,迎廣,IGNORE,0,,,,,SAFE,,14.68,2.4235,76.0114,45.72,29.05,67.7105,63.705,59.6995,0,0,UNCERTAIN,PREPARE,1068.0,LIGHT,0.7712308127328187,62.5,0.0,,,-4.287901990811638,-0.018915312769798298,,
