date,stock_id,name,decision,confidence,C_days,B_days,A_days,flow_status,cost_level,signal_type,adx,atr,vwap,kd_k,kd_d,bb_upper,bb_middle,bb_lower,B_quality,B_window_20,B_validity,B_phase,foreign_position,foreign_level,volume_ratio,foreign_cost,foreign_profit_pct,foreign_consecutive_buy,margin_change_5d,return_10d,bias_ma20,margin_consecutive_increase,margin_change_pct
2026-07-06,2317,鴻海,IGNORE,0,3.0,,,,NEUTRAL,,21.62,9.3509,251.6255,9.87,9.55,280.9653,258.15,235.3347,0,0,UNCERTAIN,PREPARE,5599704.0,HEAVY,0.6499192558296255,252.82,-4.28,,,-9.86964618249534,-0.06256052682548896,,
2026-07-06,2330,台積電,IGNORE,0,,,,,SAFE,,19.43,63.9738,2261.262,66.13,60.34,2544.0162,2388.0,2231.9838,0,0,UNCERTAIN,PREPARE,18066246.0,HEAVY,0.5085707951118447,,,,,-1.9920318725099584,0.03015075376884413,,
2026-07-06,2454,聯發科,IGNORE,0,,,,,NEUTRAL,,28.89,288.576,3386.7648,52.79,50.69,4668.6634,4273.75,3878.8366,0,0,UNCERTAIN,PREPARE,894844.0,HEAVY,0.5119499712900173,3874.11,6.48,,,-7.614781634938406,-0.03480549868382565,,
2026-07-06,6438,迅得,IGNORE,0,14.0,0.0,,,NEUTRAL,,19.74,7.1252,173.6167,78.84,71.73,169.2996,154.325,139.3504,0,0,UNCERTAIN,PREPARE,5867.0,LIGHT,0.9364078206693625,165.94,-1.17,,,2.8213166144200663,0.06269236999838013,,
2026-07-06,3450,聯鈞,IGNORE,0,,,,,SAFE,,26.51,43.0068,411.2405,21.52,28.47,606.7543,520.25,433.7457,0,0,UNCERTAIN,PREPARE,25197.0,MEDIUM,0.1537942736675988,471.32,10.33,,,-6.642728904847395,-0.00048053820278715076,,
2026-07-06,6275,元山,IGNORE,0,,,,NEUTRAL,SAFE,,31.62,2.1233,50.5271,35.59,35.13,52.689,49.0625,45.436,0,0,UNCERTAIN,PREPARE,2699.0,LIGHT,0.6434713865779619,,,,-61.0,6.680805938494161,0.025222929936305816,,
2026-07-06,2495,普安,IGNORE,0,,,,,SAFE,,20.36,2.8002,45.6799,44.99,36.77,54.5362,50.8425,47.1488,0,0,UNCERTAIN,PREPARE,22216.0,MEDIUM,0.6040141572196043,51.86,1.44,,,0.9596928982725572,0.03456753700152437,,
2026-07-06,2340,台亞,IGNORE,0,8.0,0.0,,,SAFE,,14.01,3.1015,38.0106,38.52,35.34,43.8739,37.5175,31.1611,1,3,UNCERTAIN,PREPARE,47352.0,MEDIUM,0.9540467636815938,40.2,-3.1,,,-8.99532710280373,0.03818218164856413,,
2026-07-06,8438,昶昕,IGNORE,0,10.0,0.0,,,HIGH_RISK,,29.3,6.1949,88.8249,91.33,84.52,108.9892,91.41,73.8308,0,0,UNCERTAIN,PREPARE,2673.0,LIGHT,1.2665531592361408,97.77,8.93,,,15.63517915309447,0.16508040695766324,,
2026-07-06,8422,可寧衛,IGNORE,0,,,,,SAFE,,14.02,1.1508,28.6047,52.14,32.55,30.1389,28.39,26.6411,0,0,UNCERTAIN,PREPARE,61369.0,HEAVY,1.1655849584862876,,,,,-1.2089810017271052,0.007396970764353528,,
2026-07-06,3708,上緯投控,IGNORE,0,4.0,,,,SAFE,,12.93,4.9472,120.5008,46.58,22.52,123.705,114.125,104.545,0,0,UNCERTAIN,PREPARE,7342.0,LIGHT,3.3133501727909094,118.6,-0.09,,,2.5974025974025983,0.0383351588170866,,
2026-07-06,9802,鈺齊-KY,IGNORE,0,4.0,,,,SAFE,,15.31,2.0706,77.3408,52.95,27.73,81.5615,76.065,70.5685,0,0,UNCERTAIN,PREPARE,82769.0,HEAVY,0.5725929665231791,76.85,-2.67,,,-1.319261213720313,-0.016630513376717282,,
2026-07-06,9904,寶成,IGNORE,0,3.0,,,,NEUTRAL,,19.9,0.5157,26.1292,9.97,8.89,27.3255,25.7625,24.1995,0,0,UNCERTAIN,PREPARE,837263.0,HEAVY,0.7355905868544848,24.61,-1.06,,,-6.704980842911878,-0.05482775351770974,,
2026-07-06,9910,豐泰,IGNORE,0,3.0,,,NEUTRAL,NEUTRAL,,18.58,3.5525,77.8394,27.65,15.86,94.3223,75.865,57.4077,0,0,UNCERTAIN,PREPARE,50865.0,HEAVY,0.25299138466319204,,,,-414.0,-2.121640735502117,-0.08785342384498773,,
2026-07-06,3551,世禾,IGNORE,0,,,,NEUTRAL,SAFE,,14.07,9.5467,210.3712,64.36,47.28,215.4613,198.5,181.5387,0,0,UNCERTAIN,PREPARE,4681.0,LIGHT,1.6906229989745793,203.41,2.5,,-22.0,4.511278195488733,0.05037783375314864,,
2026-07-06,8091,翔名,IGNORE,0,,,,NEUTRAL,HIGH_RISK,,29.09,17.5045,265.4583,86.84,77.18,292.4931,259.25,226.0069,0,0,UNCERTAIN,PREPARE,5021.0,LIGHT,1.1128783709372723,261.07,8.98,,-45.0,9.213051823416496,0.09739633558341376,,
2026-07-06,6423,億而得-創,IGNORE,0,2.0,,,NEUTRAL,NEUTRAL,,71.42,4.393,88.3237,16.46,24.06,89.9008,82.78,75.6592,0,0,UNCERTAIN,PREPARE,1469.0,LIGHT,0.7042856448433803,,,,4.0,-1.982651796778201,-0.04445518241121049,,
2026-07-06,6854,錼創科技-KY創,IGNORE,0,4.0,,,,NEUTRAL,,19.51,6.0653,145.7104,21.02,16.89,137.1904,127.4,117.6096,0,0,UNCERTAIN,PREPARE,36356.0,MEDIUM,0.6317619862798323,,,,,-8.301886792452828,-0.046310832025117765,,
2026-07-06,8162,微矽電子-創,IGNORE,0,,,,ACCUMULATING,HIGH_RISK,,29.07,5.6677,75.9307,54.31,48.34,90.2951,76.185,62.0749,0,0,UNCERTAIN,PREPARE,685.0,LIGHT,2.4754759090223253,83.96,2.19,,-250.0,-0.46403712296984034,0.12620594605237234,,
2026-07-06,4749,新應材,IGNORE,0,,,,NEUTRAL,SAFE,,53.96,55.5654,1040.5647,55.84,33.77,1036.1397,930.45,824.7603,0,0,UNCERTAIN,PREPARE,10312.0,MEDIUM,1.181946345128107,908.47,1.05,,158.0,-2.3404255319148914,-0.013380622279542176,,
2026-07-06,6187,萬潤,IGNORE,0,,,,NEUTRAL,NEUTRAL,,15.92,100.7709,1114.1539,24.6,25.74,1224.7012,1077.25,929.7988,0,0,UNCERTAIN,PREPARE,27608.0,MEDIUM,1.293544748254157,1111.81,-6.91,,341.0,-10.389610389610393,-0.03922023671385477,,
2026-07-06,6208,日揚,IGNORE,0,,,,NEUTRAL,SAFE,,32.87,6.1451,96.5816,25.76,37.35,105.4343,91.09,76.7457,0,0,UNCERTAIN,PREPARE,2192.0,LIGHT,0.36125787113483737,94.87,-0.5,,181.0,2.8322440087146017,0.03633768800087833,,
2026-07-06,5443,均豪,IGNORE,0,,,,NEUTRAL,NEUTRAL,,45.96,7.8587,121.4596,76.28,76.31,125.7608,110.425,95.0892,0,0,UNCERTAIN,PREPARE,17644.0,MEDIUM,0.628408892447685,120.06,-1.3,,235.0,13.397129186602875,0.07312655648630284,,
2026-07-06,8383,千附,IGNORE,0,,,,DISTRIBUTION,NEUTRAL,,15.74,3.4707,62.1155,98.72,95.15,65.0041,60.725,56.4459,0,0,UNCERTAIN,PREPARE,16731.0,MEDIUM,1.9366096872610405,63.98,1.6,,87.0,8.153078202995001,0.07039934129271308,,
2026-07-06,5314,世紀*,IGNORE,0,,,,DISTRIBUTION,HIGH_RISK,,29.55,4.367,65.5125,97.13,90.26,68.3018,61.29,54.2782,0,0,UNCERTAIN,PREPARE,16601.0,MEDIUM,4.119967169981521,67.0,0.89,,2101.0,19.01408450704225,0.1029531734377549,,
2026-07-06,6725,矽科宏晟,IGNORE,0,,,,,SAFE,,27.62,19.5078,331.1186,60.9,65.32,362.3417,314.925,267.5083,0,0,UNCERTAIN,PREPARE,1604.0,LIGHT,0.3546257045896548,327.97,0.92,,,-0.8982035928143728,0.051043899341112864,,
2026-07-06,2072,世紀風電,IGNORE,0,3.0,,,,NEUTRAL,,33.55,7.1491,174.1042,1.8,3.69,200.1478,169.65,139.1522,0,0,UNCERTAIN,PREPARE,3241.0,LIGHT,0.920532271514541,177.4,-16.85,,,-15.22988505747126,-0.130562923666372,,
2026-07-06,7794,宏碁智新,IGNORE,0,,,,,SAFE,,23.67,0.7745,31.5155,39.01,20.89,33.5837,31.355,29.1263,0,0,UNCERTAIN,PREPARE,443.0,LIGHT,0.29894214884606307,,,,,-1.898734177215189,-0.011321958220379513,,
2026-07-06,7821,神數,IGNORE,0,,,,,SAFE,,21.48,1.0093,44.0813,34.49,25.17,45.7181,43.2475,40.7769,0,0,UNCERTAIN,PREPARE,919.0,LIGHT,0.5977253596690894,43.3,-2.9,,,-4.32309442548352,-0.027689461818602212,,
2026-07-06,6472,保瑞,IGNORE,0,,,,NEUTRAL,SAFE,,38.32,23.5272,397.1046,62.65,62.32,453.6271,416.125,378.6229,0,0,UNCERTAIN,PREPARE,14351.0,MEDIUM,0.5757814549219779,413.63,3.96,,5.0,1.6548463356973908,0.033343346350255265,,
2026-07-06,4938,和碩,IGNORE,0,,,,NEUTRAL,SAFE,,14.02,3.7629,86.7098,54.33,43.02,95.9917,85.81,75.6283,0,0,UNCERTAIN,PREPARE,782925.0,HEAVY,0.5599157159771986,83.64,1.03,,471.0,3.0487804878048808,-0.015266285980654937,,
2026-07-06,5371,中光電,IGNORE,0,,,,DISTRIBUTION,HIGH_RISK,,42.69,5.8553,85.2807,98.5,93.65,98.2148,77.455,56.6952,0,0,UNCERTAIN,PREPARE,44433.0,MEDIUM,3.066611441655373,86.05,18.53,,1760.0,48.04063860667633,0.3168936802014073,,
2026-07-06,5269,祥碩,IGNORE,0,,,,,NEUTRAL,,17.09,70.8566,1403.1916,92.75,85.72,1548.3593,1429.75,1311.1407,0,0,UNCERTAIN,PREPARE,5640.0,LIGHT,0.8385325182707359,1450.59,4.78,,,4.827586206896561,0.06312292358803995,,
2026-07-06,5271,紘通,IGNORE,0,6.0,1.0,,,NEUTRAL,,8.96,1.7578,23.683,10.14,20.87,18.0286,15.87,13.7114,1,2,UNCERTAIN,PREPARE,,NONE,0.3375059776256321,15.86,-5.09,,,-16.850828729281776,-0.051669817265280416,,
2026-07-06,6465,威潤,IGNORE,0,,,,NEUTRAL,SAFE,,40.37,4.4326,58.4968,7.33,20.71,72.543,60.68,48.817,0,0,UNCERTAIN,PREPARE,1270.0,LIGHT,0.4438092496042405,69.81,-15.49,,93.0,-16.193181818181824,-0.02768622280817412,,
2026-07-06,5272,笙科,IGNORE,0,,,,NEUTRAL,SAFE,,22.88,0.9764,22.1611,42.39,32.48,22.8449,21.22,19.5951,0,0,UNCERTAIN,PREPARE,2137.0,LIGHT,1.2350016429698576,20.65,3.4,,-4.0,1.1848341232227444,0.006126295947219695,,
2026-07-06,6589,台康生技,IGNORE,0,,,,,HIGH_RISK,,23.34,2.1401,46.1409,81.57,77.57,50.7234,46.6,42.4766,0,0,UNCERTAIN,PREPARE,12685.0,MEDIUM,1.7307968146898107,49.7,3.42,,,11.135135135135133,0.10300429184549342,,
2026-07-06,6505,台塑化,WAIT,40,6.0,14.0,3.0,NEUTRAL,HIGH_RISK,,18.11,2.4128,54.1994,89.02,79.57,58.8483,54.15,49.4517,45,17,UNCERTAIN,BUILD,602596.0,HEAVY,1.5266474490747168,55.1,7.98,,95.0,10.185185185185187,0.09879963065558628,,
2026-07-06,5243,乙盛-KY,IGNORE,0,7.0,,,,SAFE,,9.71,6.6776,112.868,44.62,29.63,115.1881,105.965,96.7419,0,0,UNCERTAIN,PREPARE,89561.0,HEAVY,0.5991021049049206,102.03,1.44,,,-5.47945205479452,-0.02326239796159102,,
