stock_id,date,foreign_shares,foreign_ratio
1101,2026-05-15,1198174036,15.92
1102,2026-05-15,573945465,16.18
1216,2026-05-15,1860893453,32.75
1301,2026-05-15,1946861705,30.58
1303,2026-05-15,2608842302,32.89
1326,2026-05-15,2175654273,37.11
1402,2026-05-15,952858514,17.8
2207,2026-05-15,120454802,21.62
2301,2026-05-15,936052857,40.4
2313,2026-05-15,278919577,23.4
2317,2026-05-15,5548691190,39.73
2327,2026-05-15,1090705503,52.65
2330,2026-05-15,18286671863,70.51
2345,2026-05-15,326421965,58.17
2351,2026-05-15,28957149,15.89
2356,2026-05-15,674558131,18.8
2363,2026-05-15,45332389,8.8
2368,2026-05-15,132099942,25.55
2376,2026-05-15,156615957,23.37
2379,2026-05-15,260554022,50.54
2382,2026-05-15,1013386053,26.23
2383,2026-05-15,153164530,42.74
2395,2026-05-15,308559123,35.53
2408,2026-05-15,372859918,12.03
2441,2026-05-15,70928572,12.46
2449,2026-05-15,328870339,26.89
2451,2026-05-15,53253875,12.36
2454,2026-05-15,904377152,56.38
2603,2026-05-15,454301015,20.98
2609,2026-05-15,464972699,13.31
2615,2026-05-15,1186922518,42.29
2912,2026-05-15,204573095,19.67
3013,2026-05-15,7934761,3.86
3014,2026-05-15,33940341,20.44
3017,2026-05-15,207469385,53.44
3033,2026-05-15,93953545,19.62
3034,2026-05-15,226345276,37.19
3035,2026-05-15,21717469,8.33
3036,2026-05-15,278257649,21.92
3037,2026-05-15,593452077,37.34
3041,2026-05-15,6029325,4.29
3189,2026-05-15,102061018,19.36
3231,2026-05-15,895508193,28.15
3264,2026-05-15,143630760,29.3
3324,2026-05-15,19237169,20.66
3413,2026-05-15,16771763,15.52
3443,2026-05-15,39082397,29.16
3533,2026-05-15,52224815,46.4
3545,2026-05-15,30399131,13.74
3583,2026-05-15,14540345,18.09
3653,2026-05-15,39363437,26.82
3661,2026-05-15,45099677,55.31
3680,2026-05-15,23063065,24.01
3702,2026-05-15,597260880,35.5
4915,2026-05-15,163370770,34.62
4919,2026-05-15,34050107,8.11
4938,2026-05-15,831060495,30.98
4952,2026-05-15,6784213,6.23
4966,2026-05-15,26363215,33.38
4968,2026-05-15,3538473,3.83
5222,2026-05-15,4025773,4.43
5263,2026-05-15,10856513,14.69
5269,2026-05-15,5706606,7.63
5274,2026-05-15,19666074,52.02
5439,2026-05-15,17459771,18.77
5469,2026-05-15,54363767,11.18
6104,2026-05-15,8259587,9.06
6138,2026-05-15,14541928,19.22
6182,2026-05-15,99778293,17.39
6196,2026-05-15,36168482,16.41
6213,2026-05-15,41916838,11.54
6239,2026-05-15,269319852,35.47
6269,2026-05-15,54623120,16.86
6285,2026-05-15,112367255,23.23
6414,2026-05-15,45879042,33.35
6415,2026-05-15,313477349,80.78
6416,2026-05-15,3152447,4.29
6438,2026-05-15,5797796,7.05
6451,2026-05-15,71951536,66.95
6488,2026-05-15,128749019,26.92
6531,2026-05-15,48034836,29.49
6533,2026-05-15,5942253,11.73
6538,2026-05-15,2347258,6.16
6668,2026-05-15,12128097,11.32
6669,2026-05-15,56916509,30.62
6719,2026-05-15,8216141,7.79
6789,2026-05-15,11005161,3.45
8028,2026-05-15,43868250,24.45
8046,2026-05-15,74790655,11.57
8150,2026-05-15,322589656,45.78
8299,2026-05-15,84503633,38.22
