stock_id,name,industry
5450,寶聯通,電腦及週邊設備業
3629,地心引力,光電業
3687,歐買尬,文化創意業
5481,新華,電子零組件業
6238,勝麗,其他電子類
6497,亞獅康-KY,生技醫療業
5349,先豐,電子零組件業
8934,衡平,其他
5304,鼎創達,電腦及週邊設備業
6438,迅得,其他電子類
3450,聯鈞,其他電子業
1456,怡華,紡織纖維
3669,圓展,光電業
1443,立益,紡織纖維
8499,鼎炫-KY,其他
2429,銘旺科,電子零組件業
2614,東森,貿易百貨
2241,艾姆勒,電機機械
1453,大將,紡織纖維
6165,浪凡,電子工業
2459,敦吉,電子通路業
8354,冠好,塑膠工業
8489,三貝德,文化創意業
5604,中連貨,航運業
6506,雙邦,化學工業
3313,斐成,電子零組件業
3219,倚強股份,半導體業
6275,元山,其他電子類
3685,元創精密,光電業
5345,天揚,電子零組件業
4152,台微體,生技醫療業
2928,紅馬-KY,觀光事業
3144,新揚科,電子零組件業
4803,VHQ-KY,文化創意業
8406,金可-KY,生技醫療業
4429,聚紡,紡織纖維
2495,普安,其他電子業
2340,台亞,光電業
6431,光麗-KY,光電業
3512,皇龍,電子零組件業
8080,永利聯合,電子零組件業
5209,新鼎,資訊服務業
5321,美而快,電子零組件業
5102,富強,橡膠工業
5820,日盛金,金融業
3642,駿熠電,其他電子類
6247,淇譽電,其他電子類
6873,泓德能源-創,創新板股票
6869,雲豹能源-創,創新板股票
6594,展匯科,半導體業
2432,倚天,通信網路業
1258,其祥-KY,食品工業
2731,雄獅,觀光事業
5701,劍湖山,觀光事業
2729,瓦城,觀光事業
5902,德記,貿易百貨
6741,91APP*-KY,電子商務業
2727,王品,觀光事業
2748,雲品,觀光事業
8477,創業家,電子商務業
2726,雅茗-KY,觀光事業
2724,富驛-KY,觀光事業
5903,全家,貿易百貨
5706,鳳凰,觀光事業
2734,易飛網,觀光事業
2736,富野,觀光事業
5905,南仁湖,貿易百貨
2739,寒舍,觀光事業
2732,六角,觀光事業
2740,天蔥,觀光事業
5278,尚凡,電子商務業
8472,夠麻吉,電子商務業
2743,山富,觀光事業
5704,老爺知,觀光事業
5904,寶雅,貿易百貨
2745,五福,觀光事業
6728,上洋,貿易百貨
2947,振宇五金,貿易百貨
5703,亞都,觀光事業
1268,漢來美食,觀光事業
8044,網家,電子商務業
5287,數字,電子商務業
2718,晶悅,觀光事業
4804,大略-KY,觀光事業
2712,遠雄來,觀光事業
8066,來思達,貿易百貨
2707,晶華,觀光事業
6195,詩肯,貿易百貨
2924,宏太-KY,貿易百貨
2719,燦星旅,觀光事業
8077,洛碁,觀光事業
2706,第一店,觀光事業
2705,六福,觀光事業
2704,國賓,觀光事業
8433,弘帆,貿易百貨
2701,萬企,觀光事業
2702,華園,觀光事業
9960,邁達康,貿易百貨
2937,集雅社,貿易百貨
3252,海灣,觀光事業
8462,柏文,觀光事業
9943,好樂迪,觀光事業
2916,滿心,貿易百貨
3171,新洲,貿易百貨
8940,新天地,觀光事業
2722,夏都,觀光事業
8941,關中,貿易百貨
5301,寶得利,觀光事業
3085,新零售,電子商務業
2756,聯發國際,觀光事業
6763,綠界科技,電子商務業
2755,揚秦,觀光事業
2754,亞洲藏壽司,觀光事業
1259,安心,觀光事業
5364,力麗店,觀光事業
2753,八方雲集,觀光事業
2752,豆府,觀光事業
3522,御頂,觀光事業
2723,美食-KY,觀光事業
3054,立萬利,電子工業
8438,昶昕,其他
9955,佳龍,其他
6806,森崴能源,其他
8422,可寧衛,其他
8464,億豐,其他
6689,伊雲谷,其他電子業
6807,峰源-KY,其他
3708,上緯投控,化學生技醫療
8467,波力-KY,其他
2424,隴華,電腦及週邊設備業
8473,山林水,其他
8454,富邦媒,貿易百貨
9802,鈺齊-KY,其他
9935,慶豐富,其他
9914,美利達,其他
4536,拓凱,其他
9934,成霖,其他
6581,鋼聯,其他
9924,福興,其他
9930,中聯資源,其他
1439,雋揚,紡織纖維
2442,新美齊,電腦及週邊設備業
1736,喬山,化學生技醫療
5306,桂盟,其他
6768,志強-KY,其他
1472,三洋實業,紡織纖維
3557,嘉威,其他
1598,岱宇,化學生技醫療
9921,巨大,其他
6671,三能-KY,其他
9904,寶成,其他
2062,橋椿,其他
8482,商億-KY,其他
9910,豐泰,其他
9911,櫻花,其他
3130,一零四,資訊服務業
8341,日友,其他
6670,復盛應用,其他
6754,匯僑設計,其他
8478,東哥遊艇,其他
6641,基士德-KY,其他
1432,大魯閣,貿易百貨
8423,保綠-KY,其他
8171,天宇,通信網路業
6629,泰金-KY,其他
6690,安碁資訊,資訊服務業
1593,祺驊,生技醫療業
6803,崑鼎,其他
8440,綠電,其他
6811,宏碁資訊,資訊服務業
4154,樂威科-KY,生技醫療業
2640,大車隊,其他
6624,萬年清,其他
8420,明揚,其他
6123,上奇,電腦及週邊設備業
8476,台境,其他
8928,鉅明,其他
8924,大田,其他
8087,華鎂鑫,光電業
4702,中美實,化學工業
3551,世禾,其他電子類
4530,宏易,電機機械
3713,新晶投控,光電業
8390,金益鼎,其他
3073,天方能源,半導體業
5205,中茂,其他電子類
4609,唐鋒,電器電纜
6804,明係,其他
8933,愛地雅,其他
6616,特昇-KY,其他
8938,明安,其他
3178,公準,電機機械
3089,億杰,電子零組件業
5281,大峽谷-KY,光電業
4944,兆遠,光電業
6404,通訊-KY,資訊服務業
8418,捷必勝-KY,其他
4712,南璋,食品工業
4578,總格精密,電機機械
3627,華信科,光電業
6562,聯亞藥,生技醫療業
1563,巧新,電機機械
5383,金利,其他電子類
5432,新門,光電業
4419,元勝,紡織纖維
8091,翔名,電子零組件業
6865,偉康科技,資訊服務業
3465,進泰電子,電子零組件業
6198,瑞築,半導體業
6903,巨漢,其他電子業
6952,大武山,農業科技
6813,富動科,電腦及週邊設備業
7751,竑騰,電子工業
6999,瀚醫生技,化學生技醫療
6968,萬達寵物,居家生活
5233,有量,其他電子業
8041,東元精電,電機機械
6739,竹陞科技,其他電子業
6514,芮特-KY,通信網路業
6997,博弘,數位雲端
7703,銳澤,其他電子業
6757,台灣虎航-創,創新版股票
1311,福聚,塑膠工業
1523,開億,電機機械
4733,上緯,化學生技醫療
1601,台光,電器電纜
1230,聯成食,電器電纜
1606,歌林,電器電纜
1716,永信,化學生技醫療
3474,華亞科,半導體業
3534,雷凌,半導體業
6119,大傳,電子通路業
3573,穎台,電子工業
2258,鴻華先進-創,創新版股票
3599,旺能,光電業
3584,介面,光電業
1520,復盛,其他
2452,乾坤,電子工業
3150,鈺寶-創,創新版股票
8078,華寶,通信網路業
2254,巨鎧精密-創,創新版股票
3614,誠致,電子工業
3598,奕力,半導體業
2446,全懋,半導體業
6423,億而得-創,創新版股票
2447,鼎新,資訊服務業
6988,威力暘-創,創新版股票
6969,成信實業*-創,創新版股票
8008,建興電,電子工業
3638,F-IML,電子工業
2381,華宇,電子工業
5854,合庫,金融保險
6255,奈普,光電業
3214,元砷,電子工業
2384,勝華,光電業
2391,合勤,通信網路業
2396,精碟,光電業
6902,GOGOLOOK-創,創新版股票
6854,錼創科技-KY創,創新版股票
6286,立錡,電子工業
3271,其樂達,半導體業
2418,雅新,電子工業
2403,友尚,電子工業
2411,飛瑞,其他電子業
6280,崇貿,電子工業
3697,F-晨星,電子工業
2315,神達,電子工業
6951,青新-創,創新版股票
6949,沛爾生醫-創,創新版股票
2336,致伸,電子工業
1107,建台,其他
2341,英群,電子工業
2350,環電,其他電子業
6012,金鼎證,金融保險
6924,榮惠-KY創,創新版股票
3367,英華達,電子工業
6004,元京證,金融保險
2361,鴻友,電子工業
2473,思源,半導體業
3007,綠點,電子工業
3053,鼎營,其他電子業
3020,奇普仕,電子通路業
2526,大陸,建材營造
9157,陽光能源-DR,存託憑證
0081,恒香港,ETF
0080,恒中國,ETF
3061,璨圓,光電業
